customer_id,product_id,product_name,rating
3011,5016,anker powerbank 26k,3.9
3011,5040,jbl charge 5,4.2
5022,5008,hp envy laptop,4.7
3011,5020,nikon z30 camera,4.6
4044,5026,redmi pad se,4.4
3077,5005,bose soundbar 700,4.8
3088,5007,asus rog phone 8,4.7
3044,5037,usha steam iron,4.3
4022,5001,apple macbook air,5.0
4033,5041,oppo reno 11,4.6
4066,5010,jbl flip 6 speaker,4.4
4088,5042,wd my passport 2tb,4.1
5011,5018,lenovo ideapad slim 5,4.2
3088,5006,canon eos r50,4.3
4066,5016,anker powerbank 26k,4.5
5011,5040,jbl charge 5,4.7
4022,5002,samsung galaxy s24,4.6
4022,5012,lg oled tv 55,4.7
5022,5045,titan smart watch,4.5
4099,5001,apple macbook air,4.8
3077,5006,canon eos r50,4.3
4055,5032,dell ultrasharp 27,4.6
3088,5045,titan smart watch,4.0
3033,5019,philips air fryer,4.1
3088,5020,nikon z30 camera,4.7
4033,5031,corsair k95 keyboard,4.5
4033,5028,samsung 870 evo ssd,5.0
3066,5013,dyson v15 vacuum,4.3
4077,5018,lenovo ideapad slim 5,4.6
4088,5039,fire hd 10 tablet,4.0
3044,5013,dyson v15 vacuum,4.4
4033,5012,lg oled tv 55,4.5
3022,5036,bajaj mixer grinder,3.9
4066,5022,mi 4k projector,3.9
3022,5017,zebronics zeb-duke1,4.3
4044,5032,dell ultrasharp 27,4.1
5011,5020,nikon z30 camera,4.1
3088,5008,hp envy laptop,4.4
4055,5039,fire hd 10 tablet,4.4
5022,5015,samsung galaxy tab s9,4.9
4011,5038,realme narzo 60,4.6
4011,5037,usha steam iron,4.1
5022,5007,asus rog phone 8,4.9
3077,5041,oppo reno 11,3.8
3033,5011,xiaomi 14 pro,4.3
4099,5005,bose soundbar 700,4.3
4055,5029,logitech mx master 3,4.9
4011,5019,philips air fryer,4.7
4066,5005,bose soundbar 700,4.9
3077,5028,samsung 870 evo ssd,4.1
3099,5010,jbl flip 6 speaker,4.0
3066,5020,nikon z30 camera,4.7
5011,5019,philips air fryer,4.4
5011,5038,realme narzo 60,4.5
3066,5031,corsair k95 keyboard,4.5
4066,5018,lenovo ideapad slim 5,4.0
5011,5028,samsung 870 evo ssd,4.7
4077,5006,canon eos r50,4.5
4055,5022,mi 4k projector,4.1
3044,5011,xiaomi 14 pro,4.4
3044,5026,redmi pad se,4.4
3011,5043,seagate backup plus,4.7
4066,5027,boat airdopes 141,3.4
4088,5024,prestige induction,4.3
3022,5014,gopro hero 12,4.2
4077,5008,hp envy laptop,3.8
5022,5016,anker powerbank 26k,4.5
4011,5036,bajaj mixer grinder,3.6
4011,5033,tp-link wifi router,4.5
4055,5031,corsair k95 keyboard,5.0
3088,5030,sony wh-1000xm5,4.8
4044,5013,dyson v15 vacuum,5.0
4088,5009,noise smartwatch pro,4.4
3099,5027,boat airdopes 141,3.7
3055,5029,logitech mx master 3,4.7
4033,5022,mi 4k projector,4.3
4099,5025,iphone 15 pro,4.8
4022,5013,dyson v15 vacuum,5.0
